spp,size,family,fg,habitat,Included
Abudefduf abdominalis,30,Pomacentridae,Planktivore,Reef,1
Abudefduf saxatilis,22.9,Pomacentridae,Planktivore,Reef,1
Abudefduf septemfasciatus,23,Pomacentridae,Planktivore,Reef,1
Abudefduf sexfasciatus,19,Pomacentridae,Planktivore,Reef,1
Abudefduf sordidus,24,Pomacentridae,Planktivore,Reef,1
Abudefduf vaigiensis,20,Pomacentridae,Planktivore,Reef,1
Abudefduf whitleyi,14,Pomacentridae,Planktivore,Reef,1
Acanthemblemaria aspera,4,Chaenopsidae,Detritivore,Reef,1
Acanthemblemaria maria,5.1,Chaenopsidae,Detritivore,Reef,1
Acanthistius fuscus,40,Serranidae,Piscivore,Reef,1
Acanthochromis polyacanthus,14,Pomacentridae,Planktivore,Reef,1
Acanthurus coeruleus,39,Acanthuridae,Grazer,Out,0
Acanthostracion polygonius,50,Ostraciidae,Micro-invertivore,Reef,1
Acanthostracion quadricornis,55,Ostraciidae,Micro-invertivore,Reef,1
Acanthurus achilles,24,Acanthuridae,Grazer,Reef,1
Acanthurus achilles,24,Acanthuridae,Grazer,Reef,1
Acanthurus albipectoralis,33,Acanthuridae,Planktivore,Reef,1
Acanthurus auranticavus,45,Acanthuridae,Grazer,Reef,1
Acanthurus bahianus,38.1,Acanthuridae,Grazer,Reef,1
Acanthurus bariene,50,Acanthuridae,Grazer,Reef,1
Acanthurus blochii,45,Acanthuridae,Grazer,Reef,1
Acanthurus blochii,45,Acanthuridae,Grazer,Reef,1
Acanthurus chirugus,39,Acanthuridae,Grazer,Reef,1
Albula glossodonta,90,Albulidae,NA,Sand,0
Acanthurus dussumieri,54,Acanthuridae,Grazer,Reef,1
Acanthurus fowleri,45,Acanthuridae,Grazer,Reef,1
Acanthurus grammoptilus,35,Acanthuridae,Grazer,Reef,1
Acanthurus guttatus,26,Acanthuridae,Grazer,Reef,1
Acanthurus leucocheilus,45,Acanthuridae,Grazer,Reef,1
Acanthurus leucopareius,25,Acanthuridae,Grazer,Reef,1
Acanthurus leucosternon,54,Acanthuridae,Grazer,Reef,1
Acanthurus lineatus,38,Acanthuridae,Grazer,Reef,1
Acanthurus maculiceps,40,Acanthuridae,Grazer,Reef,1
Acanthurus mata,50,Acanthuridae,Planktivore,Reef,1
Acanthurus nigricans,21.3,Acanthuridae,Grazer,Reef,1
Acanthurus nigricauda,40,Acanthuridae,Grazer,Reef,1
Acanthurus nigrofuscus,21,Acanthuridae,Grazer,Reef,1
Acanthurus nigroris,25,Acanthuridae,Grazer,Reef,1
Acanthurus nigroris,25,Acanthuridae,Grazer,Reef,1
Acanthurus nubilus,26,Acanthuridae,Planktivore,Reef,1
Acanthurus olivaceus,35,Acanthuridae,Detritivore,Reef,1
Acanthurus olivaceus,35,Acanthuridae,Detritivore,Reef,1
Acanthurus pyroferus,29,Acanthuridae,Grazer,Reef,1
Acanthurus sp,36,Acanthuridae,Grazer,Reef,1
Acanthurus sp,36,Acanthuridae,Grazer,Reef,1
Acanthurus tennentii,31,Acanthuridae,Detritivore,Reef,1
Acanthurus thompsoni,27,Acanthuridae,Planktivore,Reef,1
Acanthurus triostegus,27,Acanthuridae,Grazer,Reef,1
Acanthurus tristis,25,Acanthuridae,Grazer,Reef,1
Acanthurus xanthopterus,70,Acanthuridae,Grazer,Reef,1
Aethaloperca rogaa,60,Serranidae,Piscivore,Reef,1
Atherinomorus insularum,9,Atherinidae,Planktivore,Pelagic,0
Platybelone argalus,50,Belonidae,Piscivore,Pelagic,0
Strongylura notata,61,Belonidae,Piscivore,Pelagic,0
Tylosurus crocodilus,150,Belonidae,Piscivore,Pelagic,0
Aluterus scriptus,110,Monacanthidae,Micro-invertivore,Reef,1
Amanses scopas,20,Monacanthidae,Micro-invertivore,Reef,1
Amblycirrhitus bimacula,8.5,Cirrhitidae,Micro-invertivore,Reef,1
Amblycirrhitus pinos,9.5,Cirrhitidae,Micro-invertivore,Reef,1
Amblyeleotris fasciata,8,Gobiidae,Detritivore,Reef,1
Amblyeleotris guttata,11,Gobiidae,Detritivore,Reef,1
Amblyeleotris sp,9,Gobiidae,Detritivore,Reef,1
Amblyglyphidodon aureus,13,Pomacentridae,Planktivore,Reef,1
Amblyglyphidodon curacao,11,Pomacentridae,Planktivore,Reef,1
Amblyglyphidodon leucogaster,13,Pomacentridae,Planktivore,Reef,1
Amblyglyphidodon leucogaster,13,Pomacentridae,Planktivore,Reef,1
Amblygobius esakiae,8.5,Gobiidae,Detritivore,Reef,1
Amblygobius phalaena,15,Gobiidae,Detritivore,Reef,1
Amblygobius sp,10,Gobiidae,Detritivore,Reef,1
Amblygobius sp,10,Gobiidae,Detritivore,Reef,1
Amblygobius sphynx,18,Gobiidae,Detritivore,Reef,1
Amphiprion akindynos,9,Pomacentridae,Planktivore,Reef,1
Amphiprion chrysopterus,17,Pomacentridae,Planktivore,Reef,1
Amphiprion clarkii,15,Pomacentridae,Planktivore,Reef,1
Amphiprion fuscocaudatus,14,Pomacentridae,Planktivore,Reef,1
Amphiprion melanopus,12,Pomacentridae,Planktivore,Reef,1
Amphiprion nigripes,11,Pomacentridae,Planktivore,Reef,1
Amphiprion perideraion,10,Pomacentridae,Planktivore,Reef,1
Anampses caeruleopunctatus,42,Labridae,Micro-invertivore,Reef,1
Anampses caeruleopunctatus,42,Labridae,Micro-invertivore,Reef,1
Anampses chrysocephalus,17,Labridae,Micro-invertivore,Reef,1
Anampses cuvier,31,Labridae,Micro-invertivore,Reef,1
Anampses femininus,24,Labridae,Micro-invertivore,Reef,1
Anampses melanurus,12,Labridae,Micro-invertivore,Reef,1
Anampses meleagrides,22,Labridae,Micro-invertivore,Reef,1
Anampses neoguinaicus,20,Labridae,Micro-invertivore,Reef,1
Anampses neoguinaicus,20,Labridae,Micro-invertivore,Reef,1
Anampses sp,30,Labridae,Micro-invertivore,Reef,1
Anampses twistii,18,Labridae,Micro-invertivore,Reef,1
Anisotremus surinamensis,76,Haemulidae,Micro-invertivore,Reef,1
Anisotremus virginicus,40.6,Haemulidae,Micro-invertivore,Reef,1
Antennarius commerson,45,Antennariidae,Pisci-invertivore,Reef,1
Anthias sp,29,Serranidae,Planktivore,Reef,1
Anthias sp,29,Serranidae,Planktivore,Reef,1
Anthias sp,29,Serranidae,Planktivore,Reef,1
Anyperodon leucogrammicus,65,Serranidae,Piscivore,Reef,1
Pterocaesio  trilineata,20,Caesionidae,Planktivore,Pelagic,0
Apogon angustatus,11,Apogonidae,Planktivore,Reef,1
Apogon apogonoides,10,Apogonidae,Planktivore,Reef,1
Apogon binotatus,13,Apogonidae,Planktivore,Reef,1
Apogon cyanosoma,8,Apogonidae,Planktivore,Reef,1
Apogon erythrinus,4,Apogonidae,Planktivore,Reef,1
Apogon fraenatus,10,Apogonidae,Planktivore,Reef,1
Apogon fuscus,7,Apogonidae,Planktivore,Reef,1
Apogon kallopterus,15.5,Apogonidae,Planktivore,Reef,1
Apogon lachneri,6.5,Apogonidae,Planktivore,Reef,1
Apogon lateralis,11,Apogonidae,Planktivore,Reef,1
Apogon maculatus,11.1,Apogonidae,Planktivore,Reef,1
Apogon maculiferus,14,Apogonidae,Planktivore,Reef,1
Apogon novemfasciatus,10,Apogonidae,Planktivore,Reef,1
Apogon sp,10,Apogonidae,Planktivore,Reef,1
Apogon sp,10,Apogonidae,Planktivore,Reef,1
Apogon townsendi,6.5,Apogonidae,Planktivore,Reef,1
Apolemichthys arcuatus,18,Pomacanthidae,Micro-invertivore,Reef,1
Apolemichthys griffisi,30,Pomacanthidae,Micro-invertivore,Reef,1
Apolemichthys trimaculatus,26,Pomacanthidae,Micro-invertivore,Reef,1
Apolemichthys xanthopunctatus,25,Pomacanthidae,Micro-invertivore,Reef,1
Aprion virescens,112,Lutjanidae,Piscivore,Reef,1
Aprion virescens,112,Lutjanidae,Piscivore,Reef,1
Archamia mozambiquensis,8.9,Apogonidae,Planktivore,Reef,1
Arothron hispidus,50,Tetraodontidae,Macro-invertivore,Reef,1
Arothron mappa,65,Tetraodontidae,Macro-invertivore,Reef,1
Arothron meleagris,50,Tetraodontidae,Corallivore,Reef,1
Arothron nigropunctatus,33,Tetraodontidae,Corallivore,Reef,1
Arothron stellatus,120,Tetraodontidae,Macro-invertivore,Reef,1
Aspidontus taeniatus,11.5,Blenniidae,Micro-invertivore,Reef,1
Asterropteryx ensifera,3,Gobiidae,Detritivore,Reef,1
Asterropteryx semipunctata,4,Gobiidae,Detritivore,Reef,1
Asterropteryx semipunctata,4,Gobiidae,Detritivore,Reef,1
Pterocaesio lativittata,23,Caesionidae,Planktivore,Pelagic,0
Atrosalarias fuscus,14.5,Blenniidae,Detritivore,Reef,1
Aulostomus chinensis,80,Aulostomidae,Piscivore,Reef,1
Aulostomus maculataus,80,Aulostomidae,Piscivore,Reef,1
Balistapus undulatus,30,Balistidae,Macro-invertivore,Reef,1
Balistapus undulatus,30,Balistidae,Macro-invertivore,Reef,1
Balistes polylepis,76,Balistidae,Macro-invertivore,Reef,1
Balistes vetula,60,Balistidae,Macro-invertivore,Reef,1
Balistoides conspicillum,50,Balistidae,Macro-invertivore,Reef,1
Balistoides conspicillum,50,Balistidae,Macro-invertivore,Reef,1
Balistoides sp,50,Balistidae,Macro-invertivore,Reef,1
Balistoides sp,50,Balistidae,Macro-invertivore,Reef,1
Balistoides viridescens,75,Balistidae,Macro-invertivore,Reef,1
Bathygobius soporator,15,Gobiidae,Detritivore,Reef,1
Belonoperca chabanaudi,15,Serranidae,Piscivore,Reef,1
Blenniella chrysospilos,13,Blenniidae,Detritivore,Reef,1
Blenniella gibbifrons,12,Blenniidae,Detritivore,Reef,1
Bodianus anthioides,24,Labridae,Micro-invertivore,Reef,1
Bodianus axillaris,20,Labridae,Micro-invertivore,Reef,1
Bodianus bilunulatus,55,Labridae,Micro-invertivore,Reef,1
Bodianus diana,16.9,Labridae,Micro-invertivore,Reef,1
Bodianus loxozonus,47,Labridae,Micro-invertivore,Reef,1
Bodianus mesothorax,25,Labridae,Micro-invertivore,Reef,1
Bodianus prognathus,17.9,Labridae,Micro-invertivore,Reef,1
Bodianus rufus,40,Labridae,Micro-invertivore,Reef,1
Bolbometopon muricatum,130,Scaridae,Excavator/scraper,Reef,1
Bothus lunatus,46,Bothidae,Micro-invertivore,Reef,1
Bothus mancus,51,Bothidae,Micro-invertivore,Reef,1
Bothus ocellatus,18,Bothidae,Micro-invertivore,Reef,1
Bothus pantherinus,39,Bothidae,Micro-invertivore,Reef,1
Brotula multibarbata,100,Ophidiidae,Macro-invertivore,Reef,1
Bryaninops sp,5,Gobiidae,Detritivore,Reef,1
Caesio caerulaurea,35,Caesionidae,Planktivore,Reef,1
Caesio cuning,60,Caesionidae,Planktivore,Reef,1
Caesio lunaris,40,Caesionidae,Planktivore,Reef,1
Caesio sp,50,Caesionidae,Planktivore,Reef,1
Caesio sp,50,Caesionidae,Planktivore,Reef,1
Caesio teres,40,Caesionidae,Planktivore,Reef,1
Caesio varilineata,40,Caesionidae,Planktivore,Reef,1
Caesio xanthonota,40,Caesionidae,Planktivore,Reef,1
Calamus calamus,56,Sparidae,Macro-invertivore,Reef,1
Calamus pennatula,37,Sparidae,Macro-invertivore,Reef,1
Calotomus carolinus,54,Scaridae,Browser,Reef,1
Calotomus zonarchus,33,Scaridae,Browser,Reef,1
Cantherhines dumerilii,38,Monacanthidae,Micro-invertivore,Reef,1
Cantherhines longicaudus,13.2,Monacanthidae,Micro-invertivore,Reef,1
Cantherhines macrocerus,46,Monacanthidae,Micro-invertivore,Reef,1
Cantherhines pardalis,25,Monacanthidae,Micro-invertivore,Reef,1
Cantherhines pulles,38,Monacanthidae,Micro-invertivore,Reef,1
Cantherhines rapanui,20,Monacanthidae,Micro-invertivore,Reef,1
Cantherhines sandwichiensis,19.3,Monacanthidae,Spongivore,Reef,1
Cantherhines verecundus,12.5,Monacanthidae,Micro-invertivore,Reef,1
Canthidermis sufflamen,65,Balistidae,Macro-invertivore,Reef,1
Canthigaster amboinensis,15,Tetraodontidae,Micro-invertivore,Reef,1
Canthigaster bennetti,10,Tetraodontidae,Micro-invertivore,Reef,1
Canthigaster coronata,11,Tetraodontidae,Micro-invertivore,Reef,1
Canthigaster epilampra,12,Tetraodontidae,Micro-invertivore,Reef,1
Canthigaster jactator,9,Tetraodontidae,Micro-invertivore,Reef,1
Canthigaster janthinoptera,9,Tetraodontidae,Micro-invertivore,Reef,1
Canthigaster rostrata,12,Tetraodontidae,Micro-invertivore,Reef,1
Canthigaster smithae,13,Tetraodontidae,Micro-invertivore,Reef,1
